"","Master","lowtag","utme","utmn","eartag1","eartag2","area","county","captyr","captmo","captday","traptype","landtype","locname","UTM.Zone","age","sex","freq","typeofmark","RwdExp","VIT","X2freq","CollarID","NeckCirc","captcomments","mtherlt","fwn1lt","fwn1frq","fwn2lt","fwn2frq","fwn3lt","fwn3frq","fwn4lt","fwn4frq","lowhigh","individual.local.identifier","event.id","visible","timestamp","location.long","location.lat","comments","gps.dop","gps.fix.type.raw","height.raw","sensor.type","individual.taxon.canonical.name","tag.local.identifier","study.name","NewDate","Year","WTYear","timelag","x","y","SeasonYear","SeasonYearBurst"
"176448","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158453,"true","2019-04-14 08:00:30.000",-78.405756,40.1259,"DMAP South:166.28",1.6,"val. GPS-3D",405.7,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-14 08:00:30,"2019","20155_20401M_2019",12610,1478079.80324072,2038273.02599491,"Spring19","20155_20401M_Spring19"
"176449","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158454,"true","2019-04-14 11:30:20.000",-78.409567,40.1158818,"DMAP South:166.28",1.2,"val. GPS-3D",537.13,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-14 11:30:20,"2019","20155_20401M_2019",12590,1477968.89123175,2037110.75448687,"Spring19","20155_20401M_Spring19"
"176450","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158455,"true","2019-04-14 15:00:20.000",-78.4092541,40.1159544,"DMAP South:166.28",1.2,"val. GPS-3D",543.08,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-14 15:00:20,"2019","20155_20401M_2019",12600,1477993.39317059,2037123.59386536,"Spring19","20155_20401M_Spring19"
"176451","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158456,"true","2019-04-14 18:30:20.000",-78.4089807,40.1159377,"DMAP South:166.28",1.4,"val. GPS-3D",601.16,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-14 18:30:20,"2019","20155_20401M_2019",12600,1478016.44673592,2037125.98743106,"Spring19","20155_20401M_Spring19"
"176452","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158457,"true","2019-04-14 22:00:24.000",-78.4092876,40.1141003,"DMAP South:166.28",1.4,"val. GPS-3D",504.99,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-14 22:00:24,"2019","20155_20401M_2019",12604,1478028.66505406,2036918.88819584,"Spring19","20155_20401M_Spring19"
"176453","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158458,"true","2019-04-15 01:30:22.000",-78.4062977,40.1231505,"DMAP South:166.28",1.2,"val. GPS-3D",429.69,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-15 01:30:22,"2019","20155_20401M_2019",12598,1478091.25333494,2037961.84770743,"Spring19","20155_20401M_Spring19"
"176454","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158459,"true","2019-04-15 05:00:20.000",-78.4062976,40.125383,"DMAP South:166.28",1.4,"val. GPS-3D",430.37,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-15 05:00:20,"2019","20155_20401M_2019",12598,1478045.43301771,2038207.70569339,"Spring19","20155_20401M_Spring19"
"176455","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158460,"true","2019-04-15 08:30:19.000",-78.4054958,40.1202415,"DMAP South:166.28",1.6,"val. GPS-3D",437.47,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-15 08:30:19,"2019","20155_20401M_2019",12599,1478217.57706568,2037653.9067637,"Spring19","20155_20401M_Spring19"
"176456","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158461,"true","2019-04-15 12:00:24.000",-78.4092917,40.1121699,"DMAP South:166.28",1.2,"val. GPS-3D",625.96,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-15 12:00:24,"2019","20155_20401M_2019",12605,1478067.94519144,2036706.23473077,"Spring19","20155_20401M_Spring19"
"176457","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158462,"true","2019-04-15 15:30:40.000",-78.411692,40.1118506,"DMAP South:166.28",1.6,"val. GPS-3D",677.36,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-15 15:30:40,"2019","20155_20401M_2019",12616,1477875.09862209,2036633.91111096,"Spring19","20155_20401M_Spring19"
